step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy,classification/accuracy,classification/precision,classification/recall,classification/auroc,classification/auprc,classification/f1.0
139,395104,4448,0.022737473400807177,0.84375,0.84375,,,,,,,,,
140,398720,4480,0.019052655959558903,0.78125,0.78125,,,,,,,,,
141,401568,4512,0.023101074496482955,0.84375,0.84375,,,,,,,,,
142,404672,4544,0.017751518052752904,0.96875,0.96875,,,,,,,,,
143,408032,4576,0.01837634110095258,0.96875,0.96875,,,,,,,,,
144,410368,4608,0.026080222424358923,0.90625,0.90625,,,,,,,,,
145,412960,4640,0.02512537121010428,0.90625,0.90625,0.023539698242845655,0.96875,0.96875,,,,,,
146,415552,4672,0.024316635706243005,0.84375,0.84375,,,,,,,,,
147,417888,4704,0.02318912449182682,0.9375,0.9375,,,,,,,,,
148,420992,4736,0.020500124330552812,0.9375,0.9375,,,,,,,,,
149,423328,4768,0.020853511272371686,0.90625,0.90625,,,,,,,,,
150,425664,4800,0.02507563914755085,0.9375,0.9375,,,,,,,,,
151,428512,4832,0.02100413776542103,0.75,0.75,,,,,,,,,
152,431360,4864,0.01919499809465022,0.9375,0.9375,,,,,,,,,
153,433696,4896,0.02405658347534165,1.0,1.0,0.019343730004678202,1.0,1.0,,,,,,
154,436288,4928,0.018028735196751997,1.0,1.0,,,,,,,,,
155,438624,4960,0.02313004131832789,0.96875,0.96875,,,,,,,,,
156,440960,4992,0.023527831132328425,0.875,0.875,,,,,,,,,
157,443808,5024,0.017325307446054178,0.9375,0.9375,,,,,,,,,
158,446400,5056,0.02167736000206708,0.9375,0.9375,,,,,,,,,
159,448736,5088,0.019738593468852563,0.9375,0.9375,,,,,,,,,
160,451840,5120,0.0199988342757277,0.90625,0.90625,,,,,,,,,
161,454688,5152,0.019428199878342118,0.96875,0.96875,0.02369150502461622,0.96875,0.96875,,,,,,
162,457792,5184,0.02032123519222632,1.0,1.0,,,,,,,,,
163,460896,5216,0.01772547988257145,0.9375,0.9375,,,,,,,,,
164,463232,5248,0.025110916547989623,0.875,0.875,,,,,,,,,
165,465824,5280,0.023841001932189555,0.9375,0.9375,,,,,,,,,
166,468672,5312,0.02097288440457388,0.9375,0.9375,,,,,,,,,
167,471008,5344,0.030421004175771284,0.875,0.875,,,,,,,,,
168,473600,5376,0.02097461500812858,0.96875,0.96875,,,,,,,,,
169,476192,5408,0.019606232236713143,0.90625,0.90625,0.011613224541817641,0.9375,0.9375,,,,,,
170,478784,5440,0.018551277213244247,0.9375,0.9375,,,,,,,,,
171,481120,5472,0.023321028380929077,0.96875,0.96875,,,,,,,,,
172,484224,5504,0.01795867621495404,0.90625,0.90625,,,,,,,,,
173,486816,5536,0.021213559369959285,0.9375,0.9375,,,,,,,,,
174,489152,5568,0.02476600417444287,0.9375,0.9375,,,,,,,,,
175,491744,5600,0.02316188211755309,0.875,0.875,,,,,,,,,
176,494336,5632,0.020257389726067172,0.9375,0.9375,,,,,,,,,
177,497184,5664,0.019746151721771008,0.84375,0.84375,0.0218463381634831,0.96875,0.96875,,,,,,
178,499776,5696,0.02328067494966558,0.96875,0.96875,,,,,,,,,
179,502112,5728,0.022447656601114863,0.96875,0.96875,,,,,,,,,
180,504448,5760,0.021611659457499252,0.90625,0.90625,,,,,,,,,
181,506784,5792,0.01996007872835056,0.90625,0.90625,,,,,,,,,
182,509632,5824,0.022922116977507793,0.90625,0.90625,,,,,,,,,
183,512480,5856,0.0242688488405679,0.84375,0.84375,,,,,,,,,
184,515328,5888,0.01933713691000285,0.9375,0.9375,,,,,,,,,
185,518688,5920,0.01387452611440267,0.84375,0.84375,0.017053938894664507,1.0,1.0,,,,,,
186,522048,5952,0.018162098121014898,1.0,1.0,,,,,,,,,
187,524896,5984,0.02149598934370749,0.90625,0.90625,,,,,,,,,
188,527488,6016,0.02203788861098491,0.9375,0.9375,,,,,,,,,
189,533408,6048,0.010385638042088995,0.90625,0.90625,,,,,,,,,
190,536256,6080,0.02069708889995747,0.96875,0.96875,,,,,,,,,
191,539360,6112,0.017808602889275656,0.9375,0.9375,,,,,,,,,
192,541952,6144,0.02031962975515073,0.875,0.875,,,,,,,,,
193,544544,6176,0.02189623571306288,0.90625,0.90625,0.019288824542566398,1.0,1.0,,,,,,
194,547136,6208,0.020866036695902042,0.875,0.875,,,,,,,,,
195,550240,6240,0.016303171201266196,0.9375,0.9375,,,,,,,,,
196,552832,6272,0.019507140807089412,0.96875,0.96875,,,,,,,,,
197,556192,6304,0.016704621193892818,0.875,0.875,,,,,,,,,
198,559552,6336,0.01794485296601194,0.96875,0.96875,,,,,,,,,
199,562400,6368,0.017174283822401798,0.875,0.875,,,,,,,,,
200,565248,6400,0.02040059692611387,1.0,1.0,,,,,,,,,
201,568096,6432,0.019543643510871556,0.8125,0.8125,0.019108004001146216,1.0,1.0,,,,,,
202,570688,6464,0.020513033468838385,0.90625,0.90625,,,,,,,,,
203,574304,6496,0.016378745635761922,0.96875,0.96875,,,,,,,,,
204,576640,6528,0.021432029288227357,0.9375,0.9375,,,,,,,,,
205,579744,6560,0.017640288773690005,0.9375,0.9375,,,,,,,,,
206,582336,6592,0.017986407068894893,0.96875,0.96875,,,,,,,,,
